,,,,,,DIPLOMA LATERAL ENTRY CUTOFF RANK OF DCET-2019 - FIRST ROUND ALLOTMENT ( GENERAL ),,,,,,,,,,,,,,,,,,,
1,E001,University Visveswariah College of Engineering,,,,,Bangalore,,,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
EE Electrical,,--,--,--,3362,--,--,2622,--,--,--,--,--,--,--,4109,2465,--,--,4095,5141,--,--,--,--
IE Info.Science,,--,--,--,4598,--,--,--,--,--,--,--,--,--,--,--,2805,3941,6665,9940,--,--,--,--,--
IM Ind. Engg.,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5506,--,9761,--,--,--,14291,--,--
Mgmt.,,,,,,,,,,,,,,,,,,,,,,,,,
ME Mechanical,,2748,--,3038,2256,--,--,--,--,--,2466,--,--,--,--,--,1987,2421,--,2320,--,--,--,--,--
TC Telecommn.,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12489,--,--,--,--,--,--,--,--
13,E013,Ghousia Engineering College,,Ramanagara,,,,,,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
CE Civil,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16487,--,--,--,--,--,--,--,--
CS Computers,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11667,--,--,--,--,--,--,--,--
EC Electronics,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15730,--,--,--,--,--,--,--,--
EE Electrical,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,14405,--,--,--,--,--,--,--,--
IE Info.Science,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
ME Mechanical,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12129,--,--,--,--,--,--,--,--
14,E014,S J C Institute of Technology,,Chickballapur,,,,,,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
AE Aeronaut.Engg,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
CE Civil,,--,--,--,12486,--,--,--,--,--,--,--,--,--,--,--,8569,11706,--,14947,--,--,10109,--,--
CS Computers,,--,--,--,7864,--,--,--,--,--,--,--,--,8748,--,--,6833,--,9784,--,--,--,--,--,--
EC Electronics,,--,--,--,11072,--,--,12043,--,--,--,--,--,--,--,--,7158,11437,9803,--,--,--,--,--,--
IE Info.Science,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,14339,--,--,--,--,--,--,--,--
ME Mechanical,,12376,--,--,6032,--,--,--,--,--,3107,--,--,--,--,--,2785,--,3697,5751,--,--,5845,--,--
SE Aero Space,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Engg.,,,,,,,,,,,,,,,,,,,,,,,,,
TC Telecommn.,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,,,,,DIPLOMA LATERAL ENTRY CUTOFF RANK OF DCET-2019 - FIRST ROUND ALLOTMENT ( GENERAL ),,,,,,,,,,,,,,,,,,,
15,E015,Dr.T.Thimmaiah Institute of Technology,,,,BANGARAPET -TQ kolar District,,,,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
CE Civil,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15722,--,--,--,--,--,--,--,--
CS Computers,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11045,--,--,--,--,--,--,--,--
EC Electronics,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,14706,--,--,--,--,--,--,--,--
EE Electrical,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,13985,--,--,--,--,--,--,--,--
ME Mechanical,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15656,--,--,--,--,--,--,--,--
MN Mining,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15766,--,--,--,--,--,--,--,--
16,E016,Siddaganga Institute of Technology,,,Tumkur,,,,,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
AR Architecture,,--,--,--,--,--,--,31,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
BT Bio Technology,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
CE Civil,,--,--,--,449,--,--,--,--,--,--,--,--,--,--,--,168,--,214,1356,--,--,--,--,--
CH Chemical,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
CS Computers,,1084,--,--,1979,--,--,--,--,--,--,--,--,1357,--,--,722,1210,1513,4464,--,--,--,--,--
EC Electronics,,--,--,--,507,--,872,--,--,--,--,--,--,960,--,--,336,--,--,1455,1784,--,--,--,--
EE Electrical,,--,--,--,807,--,--,--,--,--,--,--,--,--,--,--,756,1170,--,4504,--,--,--,--,--
EI Elec. Inst.,,--,--,--,5021,--,--,--,--,--,--,--,--,--,--,--,1441,--,6209,11455,--,--,--,--,--
Engg,,,,,,,,,,,,,,,,,,,,,,,,,
IE Info.Science,,--,--,--,--,--,--,2137,--,--,1581,--,--,--,--,--,1518,--,1847,--,--,--,--,--,--
IM Ind. Engg.,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6324,6083,--,--,9128,--,12003,--,--,--
Mgmt.,,,,,,,,,,,,,,,,,,,,,,,,,
ME Mechanical,,849,--,1399,808,1019,--,--,--,--,--,--,--,804,--,--,462,--,595,1901,--,--,--,--,--
TC Telecommn.,,--,--,--,--,--,--,11989,--,--,--,--,--,--,--,--,4446,--,--,--,--,--,--,--,--
17,E017,Sri Siddartha Institute of Technology,,,,Tumkur,,,,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
CE Civil,,--,--,--,5785,--,--,--,--,--,--,--,--,--,--,--,5729,--,6887,6110,--,--,--,--,--
CS Computers,,--,--,--,5849,--,--,--,--,--,--,--,--,--,--,--,4948,--,--,11218,--,--,--,--,--
EC Electronics,,--,--,--,6141,--,--,--,--,--,--,--,--,--,--,--,5327,--,6576,6883,--,--,--,--,--
EE Electrical,,--,--,--,7075,--,9152,--,--,--,--,--,--,--,--,--,5053,--,--,5794,--,--,--,--,--
IE Info.Science,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10642,--,--,--,--,--,--,--,--
IM Ind. Engg.,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,14572,--,--,--,--,--,--,--,--
Mgmt.,,,,,,,,,,,,,,,,,,,,,,,,,
MD Med.Elect.,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
ME Mechanical,,--,--,--,--,--,--,--,--,--,--,--,--,2738,--,--,2657,--,--,--,--,--,--,--,--
TC Telecommn.,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15418,--,--,--,--,--,--,--,--
18,E018,Kalpatharu Institute of Technology,,,Tiptur,,,,,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
CE Civil,,--,--,--,5287,--,--,--,--,--,--,--,--,--,--,--,4641,--,4929,7633,--,--,--,--,--
CS Computers,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12147,--,--,--,--,--,--,--,--
EC Electronics,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15828,--,--,--,--,--,--,--,--
IE Info.Science,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
ME Mechanical,,--,--,--,15209,--,--,--,--,--,--,--,--,11888,--,--,9592,--,10829,--,--,--,--,--,--
